date,state_id,state_label,state_prob_0,state_prob_1,state_prob_2,state_prob_3
2021-04-27,1,state_1,1.8554794244596758e-195,0.9999999999999254,0.0,7.581856240213796e-14
2021-04-28,1,state_1,2.925964544859399e-193,0.9999999999999112,0.0,8.813105437395805e-14
2021-04-29,1,state_1,8.726097073569629e-192,0.9999999999999112,0.0,8.76369189997981e-14
2021-04-30,1,state_1,2.5866289181705682e-188,0.9999999999998082,0.0,1.9298356950746845e-13
2021-05-01,1,state_1,2.0462059164870073e-186,0.9999999999998437,0.0,1.555928183502131e-13
2021-05-03,1,state_1,1.1420982489983446e-186,0.999999999999762,0.0,2.3847751146822723e-13
2021-05-04,1,state_1,7.105941617965186e-185,0.9999999999996234,0.0,3.7711728678574076e-13
2021-05-05,1,state_1,6.035180224694446e-185,0.9999999999995595,0.0,4.39908816962448e-13
2021-05-06,1,state_1,4.1889775616153087e-188,0.9999999999994955,0.0,5.051964547170939e-13
2021-05-07,1,state_1,1.693256624404058e-191,0.9999999999996412,0.0,3.598335067209987e-13
2021-05-10,1,state_1,6.125417909557877e-190,0.9999999999993605,0.0,6.398328686938709e-13
2021-05-11,1,state_1,1.2780890540684702e-189,0.999999999999158,0.0,8.423454606739226e-13
2021-05-12,1,state_1,4.038196078590233e-185,0.9999999999879812,0.0,1.2020059824757793e-11
2021-05-13,1,state_1,3.8061317432801104e-192,0.9999999999989022,0.0,1.0983623949519013e-12
2021-05-14,1,state_1,2.8471891814615922e-195,0.9999999999985718,0.0,1.4270134215927348e-12
2021-05-17,1,state_1,1.145321060069656e-193,0.9999999999983551,0.0,1.6441393019807913e-12
2021-05-18,1,state_1,2.2227216399360894e-192,0.9999999999951008,0.0,4.900428167273702e-12
2021-05-19,1,state_1,1.3880581665485154e-191,0.999999999990905,0.0,9.094850346981766e-12
2021-05-20,1,state_1,8.024828311011769e-194,0.9999999999890896,0.0,1.091077970557032e-11
2021-05-21,1,state_1,2.311227423854226e-192,0.999999999982343,0.0,1.7657699868496714e-11
2021-05-24,1,state_1,2.49477483495576e-193,0.9999999999826557,0.0,1.73431110169982e-11
2021-05-25,1,state_1,9.773768476454463e-190,0.999999999955623,0.0,4.4377309309351226e-11
2021-05-26,1,state_1,2.066608151167784e-189,0.999999999961954,0.0,3.8044693202496897e-11
2021-05-27,1,state_1,1.5279930278874216e-188,0.9999999999651799,0.0,3.4819804162356735e-11
2021-05-28,1,state_1,6.550824088463431e-187,0.9999999999579785,0.0,4.202220812704019e-11
2021-06-01,1,state_1,8.082290548578502e-186,0.9999999999819558,0.0,1.804301636667741e-11
2021-06-02,1,state_1,2.4301209090852985e-185,0.9999999999851745,0.0,1.4826843881164977e-11
2021-06-03,1,state_1,6.246375692770234e-183,0.9999999999850466,0.0,1.4952260133537366e-11
2021-06-04,1,state_1,3.280247084368881e-186,0.9999999999925713,0.0,7.427242782164967e-12
2021-06-07,1,state_1,1.2900557171135796e-186,0.9999999999964224,0.0,3.5771922555393342e-12
2021-06-08,1,state_1,3.346845885934891e-188,0.9999999999980815,0.0,1.917058095520555e-12
2021-06-09,1,state_1,2.8302671608206147e-188,0.9999999999982663,0.0,1.7353559840454467e-12
2021-06-10,1,state_1,6.982786218339901e-191,0.9999999999991367,0.0,8.649354347341428e-13
2021-06-11,1,state_1,1.5947576778802183e-188,0.9999999999986962,0.0,1.3045814688213618e-12
2021-06-14,1,state_1,1.4607933542494078e-186,0.9999999999979536,0.0,2.046292914884752e-12
2021-06-15,1,state_1,1.6715917822758166e-185,0.999999999996593,0.0,3.4055176881394273e-12
2021-06-16,1,state_1,1.9686490997551134e-181,0.9999999999899991,0.0,9.999724388149837e-12
2021-06-17,1,state_1,1.263688277300119e-177,0.9999999999751736,0.0,2.482560064504791e-11
2021-06-18,1,state_1,9.383710238183105e-171,0.9999999997921591,0.0,2.0784058502004856e-10
2021-06-21,1,state_1,7.6904711770974315e-171,0.9999999997758486,0.0,2.2415020735059029e-10
2021-06-22,1,state_1,1.4663048419676398e-167,0.999999999599563,0.0,4.0043702614524996e-10
2021-06-23,1,state_1,1.2065864547388629e-165,0.9999999992687236,0.0,7.312773823199074e-10
2021-06-24,1,state_1,1.7007689741979273e-165,0.9999999986294128,0.0,1.3705859037892772e-09
2021-06-25,1,state_1,3.3718141730982573e-165,0.9999999983142089,0.0,1.6857902519996656e-09
2021-06-28,1,state_1,2.5798229732402056e-164,0.9999999969332585,0.0,3.0667409710535788e-09
2021-06-29,1,state_1,1.208876973759861e-163,0.999999996219227,0.0,3.780774199034975e-09
2021-06-30,1,state_1,7.796192153960716e-163,0.99999999452465,0.0,5.4753481629385e-09
2021-07-01,1,state_1,1.0886401413923718e-163,0.9999999947542157,0.0,5.2457855745886515e-09
2021-07-02,1,state_1,1.6343213578775212e-164,0.9999999937793831,0.0,6.220617586843853e-09
2021-07-06,1,state_1,7.68153471144308e-164,0.999999988254242,0.0,1.174575827667544e-08
2021-07-07,1,state_1,4.638617892888751e-166,0.9999999945528693,0.0,5.447131774711089e-09
2021-07-08,1,state_1,3.7308788013076244e-165,0.999999993378065,0.0,6.621935496178098e-09
2021-07-09,1,state_1,6.903741247456367e-170,0.9999999963879631,0.0,3.6120381032714336e-09
2021-07-12,1,state_1,4.552203577182201e-172,0.9999999981344914,0.0,1.8655085931559706e-09
2021-07-13,1,state_1,6.359681839738199e-171,0.9999999973505709,0.0,2.6494298389050425e-09
2021-07-14,1,state_1,2.998746596350227e-174,0.9999999976350509,0.0,2.3649489520113156e-09
2021-07-15,1,state_1,1.711964504916086e-175,0.9999999978200087,0.0,2.1799908957724105e-09
2021-07-16,1,state_1,3.9779863883340576e-174,0.9999999972196392,0.0,2.780362118882717e-09
2021-07-19,1,state_1,2.416607844790811e-172,0.9999999843766824,0.0,1.562331715910299e-08
2021-07-20,1,state_1,2.4148145118566292e-175,0.9999999980342906,0.0,1.965709112388143e-09
2021-07-21,1,state_1,3.9042291945837154e-174,0.9999999979103045,0.0,2.0896956972098815e-09
2021-07-22,1,state_1,1.1281151573418356e-172,0.9999999955688779,0.0,4.431121586885762e-09
2021-07-23,1,state_1,1.6681423967325832e-174,0.9999999966274267,0.0,3.3725732153068997e-09
2021-07-26,1,state_1,1.550694664584874e-174,0.9999999972544558,0.0,2.7455437153483813e-09
2021-07-27,1,state_1,9.344692893532318e-174,0.9999999969218543,0.0,3.078144139167841e-09
2021-07-28,1,state_1,4.476932498667688e-175,0.9999999978673344,0.0,2.1326657976019126e-09
2021-07-29,1,state_1,1.38301351772139e-176,0.9999999981069543,0.0,1.8930461142784164e-09
2021-07-30,1,state_1,8.947954092828227e-175,0.9999999969516296,0.0,3.048370791663562e-09
2021-08-01,1,state_1,4.375250887677655e-175,0.9999999980171808,0.0,1.9828204512670514e-09
2021-08-02,1,state_1,6.603201734044993e-175,0.9999999971658156,0.0,2.8341855095018125e-09
2021-08-03,1,state_1,4.458960008249689e-178,0.999999998085265,0.0,1.9147343296216345e-09
2021-08-04,1,state_1,3.863147187684711e-177,0.9999999967872952,0.0,3.2127044258467815e-09
2021-08-05,1,state_1,1.4477684935331322e-180,0.9999999989669028,0.0,1.0330978267280273e-09
2021-08-06,1,state_1,2.3614031039020967e-180,0.9999999991946176,0.0,8.053830724916488e-10
2021-08-09,1,state_1,9.855437745014535e-180,0.9999999990815205,0.0,9.184806331818706e-10
2021-08-10,1,state_1,2.8556963954942424e-179,0.9999999991823785,0.0,8.176229350452404e-10
2021-08-11,1,state_1,1.329063789643116e-181,0.9999999992219628,0.0,7.780383345178096e-10
2021-08-12,1,state_1,2.0299377877745612e-182,0.9999999992489386,0.0,7.510628851489609e-10
2021-08-13,1,state_1,4.534765409326756e-184,0.9999999991507238,0.0,8.492763399409144e-10
2021-08-16,1,state_1,6.26725400361333e-181,0.9999999985541983,0.0,1.4458014970684702e-09
2021-08-17,1,state_1,3.9590708426801646e-178,0.9999999974418827,0.0,2.5581171660780822e-09
2021-08-18,1,state_1,1.8881361128701646e-176,0.9999999964024617,0.0,3.597539819500406e-09
2021-08-19,1,state_1,1.274656105785163e-175,0.9999999971484606,0.0,2.8515382360361835e-09
2021-08-20,1,state_1,4.194150607061774e-178,0.9999999984819219,0.0,1.5180777435410877e-09
2021-08-23,1,state_1,4.045943753261875e-180,0.9999999987287396,0.0,1.271261462728221e-09
2021-08-24,1,state_1,9.169548344816144e-180,0.9999999984027035,0.0,1.5972980465531186e-09
2021-08-25,1,state_1,2.3105610186557246e-180,0.999999998212747,0.0,1.7872545313961656e-09
2021-08-26,1,state_1,1.1110910997261854e-178,0.9999999957741714,0.0,4.225827026792279e-09
2021-08-27,1,state_1,1.352603629683735e-183,0.9999999976147613,0.0,2.3852379373186637e-09
2021-08-30,1,state_1,4.6882190067826196e-184,0.999999997733731,0.0,2.266270561737353e-09
2021-08-31,1,state_1,1.2077102664083496e-184,0.9999999978255474,0.0,2.174453093626262e-09
2021-09-01,1,state_1,6.052895632646686e-188,0.9999999984526404,0.0,1.5473612185969588e-09
2021-09-02,1,state_1,7.134595177634409e-191,0.9999999988212558,0.0,1.1787437873278275e-09
2021-09-03,1,state_1,3.5036914987995813e-193,0.9999999991273398,0.0,8.726606280611401e-10
2021-09-07,1,state_1,1.2738799507756142e-192,0.9999999992847357,0.0,7.15264391306169e-10
2021-09-08,1,state_1,1.8075268195675353e-193,0.9999999995154063,0.0,4.845936163979621e-10
2021-09-09,1,state_1,1.2809329768214443e-192,0.9999999993337987,0.0,6.66199631558897e-10
2021-09-10,1,state_1,1.4833818673679838e-189,0.9999999993025028,0.0,6.974964143256777e-10
2021-09-13,1,state_1,2.536484233178069e-190,0.9999999993720508,0.0,6.279502515901612e-10
2021-09-14,1,state_1,1.624728682689048e-187,0.9999999980588079,0.0,1.9411931012619097e-09
2021-09-15,1,state_1,1.5039534380340395e-188,0.9999999986065582,0.0,1.393440079024158e-09
2021-09-16,1,state_1,2.3302760112759534e-184,0.9999999969873734,0.0,3.0126268906712833e-09
2021-09-17,1,state_1,3.8642172314146314e-179,0.9999999885048291,0.0,1.1495171174302928e-08
2021-09-20,1,state_1,5.660198824990993e-174,0.999999784109358,0.0,2.1589064291283476e-07
2021-09-21,1,state_1,3.7697828081398346e-174,0.9999998796187876,0.0,1.2038121112779215e-07
2021-09-22,1,state_1,1.5711982907330903e-174,0.9999996954056523,0.0,3.0459434774236963e-07
2021-09-23,1,state_1,1.3900928402470668e-173,0.9999995962544899,0.0,4.03745511782281e-07
2021-09-24,1,state_1,8.175424137236916e-171,0.9999993213716636,0.0,6.786283368587482e-07
2021-09-27,1,state_1,6.88406894853143e-170,0.9999991720307387,0.0,8.27969261163519e-07
2021-09-28,1,state_1,9.824661978429566e-165,0.9999859362622401,0.0,1.4063737761330569e-05
2021-09-29,1,state_1,1.199513341564149e-165,0.9999961569914629,0.0,3.843008538205326e-06
2021-09-30,1,state_1,7.591994108827058e-164,0.9999709867109702,0.0,2.9013289030486886e-05
2021-10-01,1,state_1,7.429256214830501e-166,0.9999868583549086,0.0,1.3141645092639839e-05
2021-10-04,1,state_1,6.3083390241555255e-164,0.9999545888026673,0.0,4.5411197331587624e-05
2021-10-05,1,state_1,4.1694727254101064e-165,0.9999826343172424,0.0,1.736568275896855e-05
2021-10-06,1,state_1,5.420435566515544e-164,0.9999759457875106,0.0,2.4054212490808078e-05
2021-10-07,1,state_1,4.230344985565042e-165,0.9999855696097161,0.0,1.4430390282508862e-05
2021-10-08,1,state_1,2.2497712169527188e-163,0.9999793999003321,0.0,2.060009966664522e-05
2021-10-11,1,state_1,2.681623347739658e-162,0.9999518989602236,0.0,4.810103977463005e-05
2021-10-12,1,state_1,1.3268675261239883e-162,0.999962131050668,0.0,3.786894933326119e-05
2021-10-13,1,state_1,3.6494539964752305e-163,0.9999688830576186,0.0,3.111694238223923e-05
2021-10-14,1,state_1,2.796521117119455e-165,0.999961021196834,0.0,3.897880316644061e-05
2021-10-15,1,state_1,1.2665910900513287e-165,0.9999744865883656,0.0,2.5513411634737257e-05
2021-10-18,1,state_1,3.488719329974711e-167,0.9999739944123828,0.0,2.6005587616641505e-05
2021-10-19,1,state_1,1.6538928830984437e-169,0.9999685600634957,0.0,3.1439936502613436e-05
2021-10-20,1,state_1,1.67797747543667e-172,0.9999535404943609,0.0,4.645950563966784e-05
2021-10-21,1,state_1,4.2588165227641175e-175,0.9999506384998266,0.0,4.936150017398666e-05
2021-10-22,1,state_1,1.846723837023845e-178,0.9999445106094668,0.0,5.548939053157371e-05
