,PCA,Correlation,Volatility,Skewness,Kurtosis,Entropy,Anomaly,Clustering,Regime_GMM,HMM,Magnitude,Drawdown,Momentum,Network,Dispersion,Covariance
1991-03-24,0.19145387878463627,0.16891949883671836,0.0760790289560743,0.6176486686202912,0.04486228264177903,0.81436233613269,0.5,0.5820934598855863,0.03449940766901056,0.0,0.09052926516233384,0.0,0.4887838600906951,0.03184713375796178,0.06100112873840562,0.48524296532750794
1991-03-29,0.1803854284746933,0.14796726885942496,0.05876319232767116,0.6588894546504419,0.04868170926187666,0.815341760797189,0.5,0.5682610784170328,0.14855023087693672,0.0,0.07287600304579592,0.0,0.5680488870435528,0.028662420382165602,0.04547728212852689,0.31453938632787987
1991-04-03,0.17677707626632425,0.14407182545402764,0.05748097955428457,0.6389670743888949,0.04633783253711925,0.813439214657402,0.5,0.5716143610050302,0.06223835832276016,0.0,0.06937386651760005,0.0,0.5147313950261111,0.028662420382165602,0.04442721863104894,0.3267341863805129
1991-04-08,0.18257315864638465,0.15388979543912412,0.04861904785675206,0.5808373292807024,0.03859748242629632,0.7819865367162615,0.5,0.5971649417121165,0.0806728882033151,0.0,0.059526679337545865,0.0,0.4806382441717991,0.03503184713375796,0.0356864207840442,0.2662096833485092
1991-04-13,0.1626064136209869,0.13718447242426846,0.0443406080065811,0.5757417949547695,0.03218881809501097,0.7976252000910908,0.5,0.5775476550272176,0.02245747442867034,0.0,0.056228086149526,0.0,0.5383297087691186,0.03503184713375796,0.03138786203078423,0.3148465870925054
1991-04-18,0.1759981986954723,0.12158408546887936,0.05060073258466459,0.5924559933075343,0.029053554313817054,0.8044969457833757,0.5,0.573851443178623,0.040139598709486,0.0,0.06272012734187876,0.0,0.4781047004955665,0.03503184713375796,0.038171361204156616,0.3066890934778858
1991-04-23,0.21360145285174575,0.1340204799415792,0.04986672217696011,0.5491067181914574,0.022806803876480923,0.8141941768194434,0.5,0.5823354083435447,0.031080728993684158,0.0,0.06399952023094767,0.0,0.4145536949070963,0.03184713375796178,0.040169807649211874,0.26800915155116656
1991-04-28,0.2077824869293544,0.13561398249113554,0.0438824746424259,0.5179159741739249,0.03374900947528107,0.8189245755632544,0.5,0.6195877990180562,0.023480992435263595,0.0,0.054425208887584044,0.0,0.4054257997150401,0.03184713375796178,0.03427798834614547,0.26782709671643734
1991-05-03,0.21144072088234864,0.14255557577328543,0.0443413793363852,0.521034563235586,0.04413353547848742,0.8224905026083448,0.5,0.6260942872126782,0.03764577742709844,0.0,0.05487264186045495,0.0,0.4032927632995187,0.028662420382165602,0.0367542293282029,0.35935064853710375
1991-05-08,0.20056403809248494,0.15007653407174287,0.043012124846468144,0.5221501162120176,0.05123065818380886,0.8191092860845682,0.5,0.6233561572074384,0.037646091881295814,0.0,0.05399013895682609,0.0,0.4847646648165261,0.028662420382165602,0.03675089713995575,0.3824715731805617
1991-05-13,0.19926347873006856,0.14595642621793703,0.040806823451951635,0.5441799163673322,0.03919864742683131,0.8190307336644759,0.5,0.5866471503832491,0.08955205437292525,0.0,0.05107515795392603,0.0,0.41717185168518395,0.028662420382165602,0.034323889936734533,0.3270080178813269
1991-05-18,0.18212225578776314,0.14743679476824234,0.03406002029627877,0.584565741608365,0.026779547859285775,0.8140744650345692,0.5,0.6164081590644118,0.12260238881718064,0.0,0.04348219579285703,0.0,0.3493855085175148,0.03503184713375796,0.028358360636017044,0.2993979382219238
1991-05-23,0.14589261952461485,0.14345468625838179,0.030662007178930167,0.6020859402799482,0.03350989757801452,0.8049224413251058,0.5,0.5642038874424881,0.05433954537736841,0.0,0.04000222208833947,0.0,0.4552963075526214,0.03503184713375796,0.025486072165837526,0.21945183403797788
1991-05-28,0.14874502036760032,0.1589440191023147,0.029050062399145295,0.600608338046718,0.040965892449274274,0.8011543407001487,0.5,0.5900913400594472,0.05059612241334453,0.0,0.03582025020695723,0.0,0.44638701494843785,0.03503184713375796,0.02326304527776972,0.23607513518708842
1991-06-02,0.1606699325582123,0.18337541597054297,0.028987361631652764,0.5961204272784566,0.038872351121640294,0.8003150594326425,0.5,0.5817544949672274,0.03656277315744202,0.0,0.0366034220091525,0.0,0.49698089856636607,0.03503184713375796,0.023914420317017304,0.23530423404651493
1991-06-07,0.1741898421064638,0.20261464336947918,0.027303378641393428,0.6235662175004051,0.036918463797771035,0.8022182883376705,0.5,0.5910410067367453,0.03663394439314401,0.0,0.03754060625827622,0.0,0.39202140054350126,0.03503184713375796,0.025259994239174466,0.525118730941378
