,consensus
2015-07-20,0.0625
2015-07-25,0.125
2015-07-30,0.125
2015-08-04,0.0625
2015-08-09,0.0625
2015-08-14,0.125
2015-08-19,0.125
2015-08-24,0.1875
2015-08-29,0.125
2015-09-03,0.125
2015-09-08,0.125
2015-09-13,0.125
2015-09-18,0.125
2015-09-23,0.1875
2015-09-28,0.1875
2015-10-03,0.125
2015-10-08,0.1875
2015-10-13,0.125
2015-10-18,0.1875
2015-10-23,0.125
2015-10-28,0.0625
2015-11-02,0.0625
2015-11-07,0.0625
2015-11-12,0.0625
2015-11-17,0.0625
2015-11-22,0.125
2015-11-27,0.0625
2015-12-02,0.0
2015-12-07,0.0625
2015-12-12,0.0
2015-12-17,0.0625
2015-12-22,0.125
2015-12-27,0.125
2016-01-01,0.125
2016-01-06,0.125
2016-01-11,0.125
2016-01-16,0.0625
2016-01-21,0.0625
2016-01-26,0.125
2016-01-31,0.125
2016-02-05,0.125
2016-02-10,0.3125
2016-02-15,0.3125
2016-02-20,0.25
2016-02-25,0.25
2016-03-01,0.25
2016-03-06,0.25
2016-03-11,0.1875
2016-03-16,0.25
2016-03-21,0.0625
2016-03-26,0.0625
2016-03-31,0.0625
2016-04-05,0.1875
2016-04-10,0.25
2016-04-15,0.0625
2016-04-20,0.0625
2016-04-25,0.0625
2016-04-30,0.0625
2016-05-05,0.0625
2016-05-10,0.0
2016-05-15,0.0
2016-05-20,0.0
2016-05-25,0.0
2016-05-30,0.0
2016-06-04,0.0
2016-06-09,0.0
2016-06-14,0.0
2016-06-19,0.0
2016-06-24,0.0
2016-06-29,0.3125
2016-07-04,0.375
2016-07-09,0.375
2016-07-14,0.375
2016-07-19,0.3125
2016-07-24,0.3125
2016-07-29,0.3125
2016-08-03,0.375
2016-08-08,0.375
2016-08-13,0.375
2016-08-18,0.375
2016-08-23,0.3125
2016-08-28,0.0625
2016-09-02,0.0
2016-09-07,0.0
2016-09-12,0.0625
2016-09-17,0.125
2016-09-22,0.125
2016-09-27,0.125
2016-10-02,0.125
2016-10-07,0.125
2016-10-12,0.0625
2016-10-17,0.0625
2016-10-22,0.0625
2016-10-27,0.0625
2016-11-01,0.125
2016-11-06,0.125
2016-11-11,0.0625
2016-11-16,0.0625
2016-11-21,0.0625
2016-11-26,0.0
2016-12-01,0.0
2016-12-06,0.0
2016-12-11,0.0625
2016-12-16,0.125
2016-12-21,0.0625
2016-12-26,0.125
2016-12-31,0.0625
2017-01-05,0.125
2017-01-10,0.125
2017-01-15,0.0
2017-01-20,0.0625
2017-01-25,0.0625
2017-01-30,0.125
2017-02-04,0.0
2017-02-09,0.0
2017-02-14,0.0
2017-02-19,0.0
2017-02-24,0.0
2017-03-01,0.0
2017-03-06,0.0
2017-03-11,0.0
2017-03-16,0.0
2017-03-21,0.0
2017-03-26,0.0
2017-03-31,0.0
2017-04-05,0.0
2017-04-10,0.0
2017-04-15,0.0
2017-04-20,0.0
2017-04-25,0.0
2017-04-30,0.0
2017-05-05,0.0
2017-05-10,0.0
2017-05-15,0.0
2017-05-20,0.0625
2017-05-25,0.0625
2017-05-30,0.0625
2017-06-04,0.0625
2017-06-09,0.0625
2017-06-14,0.0625
2017-06-19,0.0625
2017-06-24,0.125
2017-06-29,0.0625
2017-07-04,0.0625
2017-07-09,0.0625
2017-07-14,0.0625
2017-07-19,0.0625
2017-07-24,0.0
2017-07-29,0.0
2017-08-03,0.0
2017-08-08,0.0
2017-08-13,0.0
2017-08-18,0.0
2017-08-23,0.0
2017-08-28,0.0
2017-09-02,0.0
2017-09-07,0.0625
2017-09-12,0.0
2017-09-17,0.0
2017-09-22,0.0
2017-09-27,0.0625
2017-10-02,0.0625
2017-10-07,0.125
2017-10-12,0.1875
2017-10-17,0.1875
2017-10-22,0.0625
2017-10-27,0.0
2017-11-01,0.0
2017-11-06,0.0
2017-11-11,0.0
2017-11-16,0.0
2017-11-21,0.0
2017-11-26,0.0
2017-12-01,0.0
2017-12-06,0.0
2017-12-11,0.0
2017-12-16,0.0
2017-12-21,0.0
2017-12-26,0.0
2017-12-31,0.0
2018-01-05,0.0
2018-01-10,0.0625
2018-01-15,0.0625
2018-01-20,0.0625
2018-01-25,0.0625
2018-01-30,0.0625
2018-02-04,0.0625
2018-02-09,0.25
2018-02-14,0.1875
2018-02-19,0.1875
2018-02-24,0.25
2018-03-01,0.25
2018-03-06,0.1875
2018-03-11,0.1875
2018-03-16,0.25
2018-03-21,0.25
2018-03-26,0.125
2018-03-31,0.0625
2018-04-05,0.0
2018-04-10,0.0
2018-04-15,0.0
2018-04-20,0.0625
2018-04-25,0.0
2018-04-30,0.0
2018-05-05,0.0
2018-05-10,0.0
2018-05-15,0.125
2018-05-20,0.1875
2018-05-25,0.0625
2018-05-30,0.125
2018-06-04,0.0625
2018-06-09,0.0
2018-06-14,0.0625
2018-06-19,0.0
2018-06-24,0.0
2018-06-29,0.0
2018-07-04,0.0
2018-07-09,0.0
2018-07-14,0.0
2018-07-19,0.0
2018-07-24,0.0
2018-07-29,0.0
2018-08-03,0.0
2018-08-08,0.0
2018-08-13,0.0
2018-08-18,0.0
2018-08-23,0.0
2018-08-28,0.0
